ID,Name,Age,Nationality,Overall,Club,Position,Club Logo,Value,Wage,Year,Value_spread,Wage_spread
146058,Momo,33,Spain,72,UD Las Palmas,Midfield,https://cdn.sofifa.org/teams/2/light/472.png,1.4M,1K,2017,1400000,1000
215703,Marlon Santos,20,Brazil,72,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,3.3M,22K,2017,3300000,22000
188058,A. Kravets,27,Ukraine,72,Granada CF,Forward,https://cdn.sofifa.org/teams/2/light/110832.png,2.6M,16K,2017,2600000,16000
202413,Hernán,25,Spain,72,UD Las Palmas,Midfield,https://cdn.sofifa.org/teams/2/light/472.png,2.4M,3K,2017,2400000,3000
229037,Borja Valle,23,Spain,72,Deportivo de La Coruña,Midfield,https://cdn.sofifa.org/teams/2/light/242.png,3.1M,3K,2017,3100000,3000
213937,Aketxe,22,Spain,72,Athletic Club de Bilbao,Midfield,https://cdn.sofifa.org/teams/2/light/448.png,3.3M,22K,2017,3300000,22000
198579,Tano Bonnin,26,Dominican Republic,72,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,2.4M,9K,2017,2400000,9000
222390,Unai López,20,Spain,72,CD Leganés,Midfield,https://cdn.sofifa.org/teams/2/light/100888.png,3.2M,1K,2017,3200000,1000
220355,Alex Alegría,23,Spain,72,Real Betis,Forward,https://cdn.sofifa.org/teams/2/light/449.png,3.3M,6K,2017,3300000,6000
210118,Hélder Lopes,27,Portugal,72,UD Las Palmas,Defense,https://cdn.sofifa.org/teams/2/light/472.png,2.1M,9K,2017,2100000,9000
110283,Duda,36,Portugal,72,Málaga CF,Midfield,https://cdn.sofifa.org/teams/2/light/573.png,270K,1K,2017,270000,1000
203216,Héctor,25,Spain,72,Real Sociedad,Defense,https://cdn.sofifa.org/teams/2/light/457.png,2.5M,3K,2017,2500000,3000
194519,Fuentes,26,Spain,72,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,2.2M,9K,2017,2200000,9000
170988,Toquero,31,Spain,72,Deportivo Alavés,Forward,https://cdn.sofifa.org/teams/2/light/463.png,2M,5K,2017,2000000,5000
172283,Carlos Martínez,30,Spain,72,Real Sociedad,Defense,https://cdn.sofifa.org/teams/2/light/457.png,1.6M,2K,2017,1600000,2000
215569,Unai Garcia,23,Spain,71,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,2.2M,3K,2017,2200000,3000
207409,I. Kelava,28,Croatia,71,Granada CF,GK,https://cdn.sofifa.org/teams/2/light/110832.png,1.5M,9K,2017,1500000,9000
146996,Rubén,32,Spain,71,Deportivo de La Coruña,GK,https://cdn.sofifa.org/teams/2/light/242.png,1.3M,2K,2017,1300000,2000
225591,L. Suárez,20,Argentina,71,Villarreal CF,Midfield,https://cdn.sofifa.org/teams/2/light/483.png,3.1M,22K,2017,3100000,22000
186682,Montoro,28,Spain,71,UD Las Palmas,Midfield,https://cdn.sofifa.org/teams/2/light/472.png,1.7M,9K,2017,1700000,9000
219728,Edgar Méndez,25,Spain,71,Deportivo Alavés,Midfield,https://cdn.sofifa.org/teams/2/light/463.png,2.2M,3K,2017,2200000,3000
200539,Gaztañaga,25,Spain,71,Real Sociedad,Midfield,https://cdn.sofifa.org/teams/2/light/457.png,2M,3K,2017,2000000,3000
225120,R. Aït-Atmane,23,Algeria,71,Real Sporting de Gijón,Midfield,https://cdn.sofifa.org/teams/2/light/459.png,2.1M,3K,2017,2100000,3000
228962,Nili Perdomo,22,Spain,71,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,2.4M,22K,2017,2400000,22000
225123,D. Ndi,20,Cameroon,71,Real Sporting de Gijón,Midfield,https://cdn.sofifa.org/teams/2/light/459.png,2.8M,1K,2017,2800000,1000
193891,Borja Viguera,29,Spain,71,Real Sporting de Gijón,Forward,https://cdn.sofifa.org/teams/2/light/459.png,1.7M,5K,2017,1700000,5000
178297,Canella,28,Spain,71,Real Sporting de Gijón,Defense,https://cdn.sofifa.org/teams/2/light/459.png,1.4M,9K,2017,1400000,9000
188289,E. Rivière,26,France,71,CA Osasuna,Forward,https://cdn.sofifa.org/teams/2/light/479.png,2.2M,16K,2017,2200000,16000
212129,Borja López,22,Spain,71,FC Barcelona,Defense,https://cdn.sofifa.org/teams/2/light/241.png,2.5M,22K,2017,2500000,22000
170915,Sastre,30,Spain,71,CD Leganés,Midfield,https://cdn.sofifa.org/teams/2/light/100888.png,1.6M,2K,2017,1600000,2000
203177,D. Foulquier,23,France,71,Granada CF,Defense,https://cdn.sofifa.org/teams/2/light/110832.png,2.1M,3K,2017,2100000,3000
225201,Alex Berenguer,20,Spain,71,CA Osasuna,Midfield,https://cdn.sofifa.org/teams/2/light/479.png,3.1M,1K,2017,3100000,1000
210358,A. Brignoli,24,Italy,71,CD Leganés,GK,https://cdn.sofifa.org/teams/2/light/100888.png,2.1M,3K,2017,2100000,3000
199101,Raúl Lizoain,25,Spain,71,UD Las Palmas,GK,https://cdn.sofifa.org/teams/2/light/472.png,1.9M,3K,2017,1900000,3000
221639,Mariano,22,Dominican Republic,71,Real Madrid,Forward,https://cdn.sofifa.org/teams/2/light/243.png,2.8M,27K,2017,2800000,27000
226271,Fabián,20,Spain,71,Real Betis,Midfield,https://cdn.sofifa.org/teams/2/light/449.png,2.9M,1K,2017,2900000,1000
203746,J. Toral,21,Spain,71,Granada CF,Midfield,https://cdn.sofifa.org/teams/2/light/110832.png,2.8M,3K,2017,2800000,3000
221923,Vigaray,21,Spain,71,Deportivo Alavés,Defense,https://cdn.sofifa.org/teams/2/light/463.png,2.4M,1K,2017,2400000,1000
189459,Jaime Romero,25,Spain,70,CA Osasuna,Midfield,https://cdn.sofifa.org/teams/2/light/479.png,1.7M,3K,2017,1700000,3000
28,Manu Herrera,34,Spain,70,Real Betis,GK,https://cdn.sofifa.org/teams/2/light/449.png,945K,1K,2017,945000,1000
198964,Tyronne,25,Spain,70,UD Las Palmas,Midfield,https://cdn.sofifa.org/teams/2/light/472.png,1.7M,3K,2017,1700000,3000
171578,Javi Flaño,31,Spain,70,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,918K,2K,2017,918000,2000
204876,Clerc,24,Spain,70,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,1.7M,3K,2017,1700000,3000
183141,Oier,26,Spain,70,Granada CF,GK,https://cdn.sofifa.org/teams/2/light/110832.png,1.4M,9K,2017,1400000,9000
229991,Fran Villalba,18,Spain,70,Valencia CF,Midfield,https://cdn.sofifa.org/teams/2/light/461.png,1.8M,11K,2017,1800000,11000
223610,Concha,19,Spain,70,Real Sociedad,Forward,https://cdn.sofifa.org/teams/2/light/457.png,2.4M,1K,2017,2400000,1000
227990,Josep Señé,24,Spain,70,RC Celta,Forward,https://cdn.sofifa.org/teams/2/light/450.png,2M,16K,2017,2000000,16000
199575,Jordi Masip,27,Spain,70,FC Barcelona,GK,https://cdn.sofifa.org/teams/2/light/241.png,1.3M,32K,2017,1300000,32000
214944,Gerard,21,Spain,70,FC Barcelona,Midfield,https://cdn.sofifa.org/teams/2/light/241.png,1.9M,22K,2017,1900000,22000
224953,André Moreira,20,Portugal,70,Atlético Madrid,GK,https://cdn.sofifa.org/teams/2/light/240.png,2.1M,22K,2017,2100000,22000
219848,David Costas,21,Spain,70,RC Celta,Defense,https://cdn.sofifa.org/teams/2/light/450.png,1.8M,6K,2017,1800000,6000
222665,M. Ødegaard,17,Norway,70,Real Madrid,Midfield,https://cdn.sofifa.org/teams/2/light/243.png,2.4M,11K,2017,2400000,11000
146637,Dani Giménez,32,Spain,70,Real Betis,GK,https://cdn.sofifa.org/teams/2/light/449.png,1.1M,2K,2017,1100000,2000
229606,V. Angban,19,Ivory Coast,70,Granada CF,Midfield,https://cdn.sofifa.org/teams/2/light/110832.png,2.1M,1K,2017,2100000,1000
208622,Rubén Sobrino,24,Spain,70,Deportivo Alavés,Forward,https://cdn.sofifa.org/teams/2/light/463.png,2.1M,6K,2017,2100000,6000
205551,Álvaro Lemos,23,Spain,70,RC Celta,Defense,https://cdn.sofifa.org/teams/2/light/450.png,1.8M,11K,2017,1800000,11000
146947,Vesga,23,Spain,69,Athletic Club de Bilbao,Midfield,https://cdn.sofifa.org/teams/2/light/448.png,1.5M,9K,2017,1500000,9000
234051,A. Afif,19,Qatar,69,Real Sporting de Gijón,Forward,https://cdn.sofifa.org/teams/2/light/459.png,1.6M,1K,2017,1600000,1000
205669,Luís Martins,24,Portugal,69,Granada CF,Defense,https://cdn.sofifa.org/teams/2/light/110832.png,1.3M,1K,2017,1300000,1000
233329,M. Villanueva,23,Venezuela,69,Málaga CF,Defense,https://cdn.sofifa.org/teams/2/light/573.png,1.3M,1K,2017,1300000,1000
211068,Kenan Kodro,22,Spain,69,CA Osasuna,Forward,https://cdn.sofifa.org/teams/2/light/479.png,1.7M,1K,2017,1700000,1000
194955,Toni Dovale,26,Spain,69,CD Leganés,Midfield,https://cdn.sofifa.org/teams/2/light/100888.png,1.2M,3K,2017,1200000,3000
204966,Adrián Ortolá,22,Spain,69,Deportivo Alavés,GK,https://cdn.sofifa.org/teams/2/light/463.png,1.6M,1K,2017,1600000,1000
235945,Marc Roca,19,Spain,69,RCD Espanyol,Midfield,https://cdn.sofifa.org/teams/2/light/452.png,1.6M,1K,2017,1600000,1000
212405,Alberto Martín,27,Spain,69,CD Leganés,Midfield,https://cdn.sofifa.org/teams/2/light/100888.png,1.1M,3K,2017,1100000,3000
228790,Aitor Buñuel,18,Spain,69,CA Osasuna,Defense,https://cdn.sofifa.org/teams/2/light/479.png,1.9M,1K,2017,1900000,1000
211385,R. Durmisi,22,Denmark,69,Real Betis,Defense,https://cdn.sofifa.org/teams/2/light/449.png,1.5M,1K,2017,1500000,1000
188128,Manu Barreiro,29,Spain,69,Deportivo Alavés,Forward,https://cdn.sofifa.org/teams/2/light/463.png,1.1M,2K,2017,1100000,2000
201990,Saborit,24,Spain,68,Athletic Club de Bilbao,Defense,https://cdn.sofifa.org/teams/2/light/448.png,1.1M,9K,2017,1100000,9000
231433,Aitor,20,Spain,68,Villarreal CF,Forward,https://cdn.sofifa.org/teams/2/light/483.png,1.8M,9K,2017,1800000,9000
218662,Asdrúbal,25,Spain,68,UD Las Palmas,Forward,https://cdn.sofifa.org/teams/2/light/472.png,1.2M,2K,2017,1200000,2000
210520,Edgar Ié,22,Portugal,68,Villarreal CF,Defense,https://cdn.sofifa.org/teams/2/light/483.png,1M,9K,2017,1000000,9000
224869,Bustinza,24,Spain,68,CD Leganés,Defense,https://cdn.sofifa.org/teams/2/light/100888.png,1.1M,1K,2017,1100000,1000
