"","County Name","black","hispanic","native","el","swd","ed","act_composite","chronic_abs","suspended","expelled","grad","dropout","math_average","english_average","science_average","household_dollar","region_East TN","region_South Central","region_Northwest","region_Upper Cumberland","region_Southeast","region_First TN","region_Mid Cumberland","region_Southwest/Memphis","stud_tea_ratio"
"12","Cheatham County",3.4,2.8,0.4,1.05,15.8,51.6,21.1,13.6,4.5,0.05,93.9,4.4,61.2333333333333,60.925,65.6666666666667,56150,0,0,0,0,0,0,1,0,21.0425844346549
"13","Chester County",13.8,3,0.5,0.1,10,40,19.7,12.6,0,0,88.4,6.6,67.8,63.45,70.1333333333333,43740,0,0,0,0,0,0,0,1,15.5842696629213
"14","Claiborne County",1.8,1.2,0.3,0.2,13.8,77,17.7,20.2,4.6,0,95.3,2.5,42.0333333333333,52.625,44.8,35428,1,0,0,0,0,0,0,0,14.4974789915966
"15","Clay County",1.8,2.1,0.3,0.3,16.2,70.7,18.4,9.8,0.5,0,96.8,1.6,63.1333333333333,46.825,50.5333333333333,30801,0,0,0,1,0,0,0,0,14.1828254847645
"16","Cocke County",5.4,3.1,0.35,0.7,15.25,67.1,18.3,13.35,3.1,0.05,93.9,4.3,53.1166666666667,52.075,68.7833333333333,32027,0,0,0,0,0,1,0,0,16.4902773350335
"17","Coffee County",6.76666666666667,8.56666666666667,0.366666666666667,4.26666666666667,17,42.3333333333333,21.2,13.4,2.13333333333333,0,89.9,6.35,60.9555555555556,57.3833333333333,62.7333333333333,46614,0,1,0,0,0,0,0,0,29.1868569532028
"18","Crockett County",13.8666666666667,17.3666666666667,0.0333333333333333,4.9,12.0666666666667,68.8,19.1,5.06666666666667,0.133333333333333,0.0333333333333333,95.9,3.1,63.2777777777778,57.7583333333333,72.3555555555556,39692,0,0,1,0,0,0,0,0,22.5313479623824
"19","Cumberland County",1.3,4.7,0.3,1.8,15.9,63.8,19.6,11.7,0.7,0,93,3.9,68.9,62.775,65.2666666666667,40994,0,0,0,1,0,0,0,0,15.5901169203618
"20","Davidson County",44.3,20.7,0.2,16.2,12.4,75.3,18.7,14.5,10.7,0.4,78.7,14.6,50.5666666666667,47.325,45.9,53419,0,0,0,0,0,0,1,0,15.7167856229969
"21","Decatur County",4.2,4.7,0.2,1.1,18.9,57.7,18.6,19.3,0.2,0.1,94.4,4.8,58.0666666666667,62.925,62.2333333333333,36427,0,0,0,0,0,0,0,1,14.0275229357798
"22","DeKalb County",1.8,11.3,0.1,5.3,14.4,64.4,17.7,13.9,3.8,0,94.9,2.2,54.3,55.525,63.9666666666667,40690,0,0,0,1,0,0,0,0,14.352644836272
"23","Dickson County",8.1,4.9,0.6,1.6,16.2,53.1,21,12.2,0.5,0,90.7,7.4,61.5333333333333,62.8,62.7333333333333,47398,0,0,0,0,0,0,1,0,14.4844809133072
"24","Dyer County",25.45,4.05,0.25,0.1,13.5,66.3,21.5,11,4.6,0,89.1,7.9,70.2166666666667,57.3375,65.35,44386,0,0,1,0,0,0,0,0,26.3392857142857
"25","Fayette County",58.8,5,0.1,2.3,13.9,80.6,16.6,14.5,12.9,0,80.6,15.9,30.1666666666667,45.025,39.1333333333333,57919,0,0,0,0,0,0,0,1,11.9836248604392
"26","Fentress County",0.4,1.25,0.3,0.35,13.25,68.3,17.4,16.35,0,0,87.55,10.25,64.475,62.05,60.6083333333333,32616,0,0,0,1,0,0,0,0,15.2312388567724
"27","Franklin County",7.1,4.5,0.4,1,15.2,57.7,18.7,12.8,4.1,0,89.1,5.6,54.4333333333333,54.3,49.6333333333333,46882,0,1,0,0,0,0,0,0,14.7787114845938
"28","Gibson County",28.92,3.18,0.12,0.68,15.36,66.4,18.7,11.58,1.1,0.02,88.74,7.42,73.8266666666667,59.28,64.95,41315,0,0,1,0,0,0,0,0,31.6896166728694
"29","Giles County",17.2,2.1,0.4,0.5,12.4,61.5,18.2,27.6,3.1,0.4,87.2,9.9,56.5333333333333,53.1,49.1666666666667,43925,0,1,0,0,0,0,0,0,14.1272794938593
"30","Grainger County",0.7,5.5,0.2,0,16,66.3,18,18.6,0.6,0.1,88.1,7.3,49,46.075,49.8333333333333,40088,1,0,0,0,0,0,0,0,15.3723887375114
"31","Greene County",5.65,5.45,0.6,1.95,17.3,56.65,20.1,13.6,5.1,0,96.15,1.8,67.6666666666667,62.7125,68.5666666666667,38266,0,0,0,0,0,1,0,0,21.756850103615
"32","Grundy County",0.2,1,0.1,0.4,19,81.2,17.6,18.1,0.3,0,90,5.3,42.4666666666667,48.275,47.1666666666667,31919,0,0,0,0,1,0,0,0,14.1655450874832
"33","Hamblen County",6.7,21.7,0.4,11.9,13.7,64.3,19.7,5.2,3.7,0.4,91,6.4,66.1,57.8,61.3666666666667,42042,0,0,0,0,0,1,0,0,15.4014598540146
